shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10081,33.846725,-118.224114,20020,0.888
10081,33.846725,-118.224114,30001,0.888
10081,33.846726,-118.224884,30002,0.932
10081,33.846727,-118.225338,30003,0.958
10081,33.846725,-118.226878,30004,1.047
10081,33.846725,-118.227309,30005,1.072
10081,33.846724,-118.227980,30006,1.110
10081,33.846724,-118.228532,30007,1.142
10081,33.846724,-118.228601,30008,1.146
10081,33.846721,-118.229017,30009,1.170
10081,33.846726,-118.230372,30010,1.248
10081,33.846729,-118.231419,30011,1.308
10081,33.846727,-118.231645,30012,1.321
10081,33.846720,-118.232444,30013,1.367
10081,33.846738,-118.233091,30014,1.404
10081,33.846740,-118.233158,30015,1.408
10081,33.846803,-118.233860,30016,1.449
10081,33.846814,-118.233950,30017,1.454
10081,33.846817,-118.234044,30018,1.459
10081,33.846856,-118.234676,30019,1.496
10081,33.846856,-118.234676,40001,1.496
10081,33.846857,-118.234687,40002,1.496
10081,33.846856,-118.234969,40003,1.512
10081,33.846855,-118.235409,40004,1.538
10081,33.846852,-118.235594,40005,1.548
10081,33.846863,-118.238682,40006,1.726
10081,33.846863,-118.238950,40007,1.741
10081,33.846863,-118.238950,50001,1.741
10081,33.846857,-118.243711,50002,2.015
10081,33.846857,-118.244002,50003,2.032
10081,33.846857,-118.244002,60001,2.032
10081,33.846861,-118.248456,60002,2.288
10081,33.846863,-118.248528,60003,2.292
10081,33.846861,-118.248595,60004,2.296
10081,33.846864,-118.248877,60005,2.312
10081,33.846864,-118.248877,70001,2.312
10081,33.846865,-118.248973,70002,2.318
10081,33.846868,-118.249820,70003,2.367
10081,33.846868,-118.251756,70004,2.478
10081,33.846863,-118.252291,70005,2.509
10081,33.846856,-118.252776,70006,2.537
10081,33.846847,-118.252998,70007,2.549
10081,33.846842,-118.253110,70008,2.556
10081,33.846833,-118.253485,70009,2.577
10081,33.846815,-118.253755,70010,2.593
10081,33.846815,-118.253755,80001,2.593
10081,33.846784,-118.254217,80002,2.620
10081,33.846775,-118.254371,80003,2.628
10081,33.846773,-118.254416,80004,2.631
10081,33.846767,-118.254602,80005,2.642
10081,33.846772,-118.255053,80006,2.668
10081,33.846804,-118.256610,80007,2.757
10081,33.846829,-118.258194,80008,2.848
10081,33.846831,-118.258314,80009,2.855
10081,33.846837,-118.258732,80010,2.879
10081,33.846842,-118.259015,80011,2.896
10081,33.846842,-118.259015,90001,2.896
